2.100000000000000000e+01 8.744684471730107589e+02 6.112097783381618618e-03 1.282188501137714899e-04 1.316320094485354808e+00
2.200000000000000000e+01 8.874084550605804225e+02 7.210298449127867243e-03 1.405347278588070460e-04 1.384242699573849267e+00
2.300000000000000000e+01 9.004536484007489889e+02 8.452618718650982757e-03 1.534269453463170331e-04 1.455001659668057279e+00
2.400000000000000000e+01 9.139181879139505327e+02 9.841300232750645888e-03 1.668969882300746046e-04 1.524455742958507054e+00
2.500000000000000000e+01 9.279213041340910877e+02 1.137582782185001147e-02 1.809462763765877383e-04 1.586237817367150971e+00
2.600000000000000000e+01 9.419611178383692049e+02 1.306040423721329009e-02 1.955761536540570199e-04 1.645047711125279255e+00
2.700000000000000000e+01 9.564552872637901828e+02 1.489622890247430630e-02 2.107878789131319304e-04 1.699122253814554506e+00
2.800000000000000000e+01 9.712464143452657481e+02 1.687139432097782207e-02 2.265826176255350728e-04 1.741072464046169666e+00
2.900000000000000000e+01 9.862629528025371428e+02 1.902329210578499255e-02 2.429614348904847421e-04 1.776707063049353996e+00
3.000000000000000000e+01 1.001701175704054208e+03 2.139041995105191857e-02 2.599252886572595966e-04 1.800483659085019950e+00
3.100000000000000000e+01 1.016937690887466147e+03 2.395726467752992694e-02 2.774750242694658405e-04 1.822244028649241843e+00
3.200000000000000000e+01 1.032759715750705482e+03 2.672938928128523392e-02 2.956113705624947917e-04 1.835964914718882124e+00
3.300000000000000000e+01 1.048639086488799194e+03 2.968323818826360330e-02 3.143349365262599606e-04 1.841164764627545525e+00
3.400000000000000000e+01 1.064560293228760429e+03 3.286328973891332328e-02 3.336462090517938847e-04 1.840587971482771090e+00
3.500000000000000000e+01 1.081110474635193668e+03 3.627803034397739795e-02 3.535455518437104617e-04 1.827367168976514966e+00
3.600000000000000000e+01 1.097393635904601751e+03 3.994753635361186078e-02 3.740332055676813278e-04 1.813165190295914719e+00
3.700000000000000000e+01 1.113934360803369827e+03 4.386496577765579968e-02 3.951092896707461446e-04 1.789447315029966790e+00
3.800000000000000000e+01 1.130837248913530630e+03 4.799188152703174476e-02 4.167738041818207467e-04 1.755133075525798114e+00
3.900000000000000000e+01 1.148003439031607741e+03 5.233776397668798291e-02 4.390266338523760438e-04 1.709549979261127728e+00
4.000000000000000000e+01 1.165351917700971626e+03 5.692669095495637988e-02 4.618675519538622013e-04 1.651106155489603378e+00
4.100000000000000000e+01 1.182796276981139954e+03 6.177948760192468469e-02 4.852962271936995327e-04 1.578867628953178226e+00
4.200000000000000000e+01 1.200339953493353278e+03 6.690344995526337213e-02 5.093122284690205495e-04 1.494465046050138968e+00
4.300000000000000000e+01 1.217995845931347503e+03 7.230232422988075447e-02 5.339150336561948422e-04 1.399770961733568075e+00
4.400000000000000000e+01 1.235813995406176218e+03 7.797770187634749106e-02 5.591040384303319882e-04 1.295053443313747277e+00
4.500000000000000000e+01 1.253859300300761333e+03 8.392835103685446219e-02 5.848785636963771666e-04 1.180276031772349965e+00
4.600000000000000000e+01 1.272098233050157660e+03 9.015161675168507915e-02 6.112378671055783549e-04 1.055618530983847059e+00
4.700000000000000000e+01 1.290512120045448683e+03 9.665089004523802485e-02 6.381811519202798847e-04 9.202686008233404991e-01
4.800000000000000000e+01 1.309073001709788741e+03 1.034242018390751222e-01 6.657075797354497244e-04 7.731473207160579619e-01
4.900000000000000000e+01 1.327767775294152671e+03 1.104688397338022821e-01 6.938162804842096286e-04 6.132500884749224612e-01
5.000000000000000000e+01 1.346650193206919084e+03 1.177932333885010896e-01 7.225063644357835636e-04 4.397112463699062168e-01
5.100000000000000000e+01 1.365778326422713917e+03 1.254057546965401948e-01 7.517769356323589225e-04 2.520532157260746975e-01
5.200000000000000000e+01 1.385101238459167007e+03 1.333100888443633503e-01 7.816271016553138487e-04 5.114858130874182923e-02
5.300000000000000000e+01 1.404550026098327180e+03 1.415054062960228731e-01 8.120559870938356007e-04 -1.620024326995182229e-01
5.400000000000000000e+01 1.424107784079285011e+03 1.499916199882337930e-01 8.430627455300507798e-04 -3.872587341442274012e-01
5.500000000000000000e+01 1.443772463224851435e+03 1.587701281984940371e-01 8.746465714654568522e-04 -6.248488356861816584e-01
5.600000000000000000e+01 1.463657427506542263e+03 1.678357619146627344e-01 9.068067119684476490e-04 -8.755922527232168351e-01
5.700000000000000000e+01 1.483862281166840830e+03 1.771838259458764497e-01 9.395424778666077456e-04 -1.140107738281694649e+00
5.800000000000000000e+01 1.504342049115270129e+03 1.868119719113991994e-01 9.728532548310542391e-04 -1.418284587105367534e+00
5.900000000000000000e+01 1.525007185099242861e+03 1.967185940950134104e-01 1.006738513903525064e-03 -1.709724591919572267e+00
6.000000000000000000e+01 1.545834996862959315e+03 2.068946583068949074e-01 1.041197820247573421e-03 -2.013613534387668658e+00
6.100000000000000000e+01 1.566830828516156998e+03 2.173324257384176006e-01 1.076230845097055772e-03 -2.329261636474834418e+00
6.200000000000000000e+01 1.588000748025616531e+03 2.280293393930544199e-01 1.111837370660348837e-03 -2.656833509620782241e+00
6.300000000000000000e+01 1.609364002877602161e+03 2.389848805957552613e-01 1.148017299985851789e-03 -2.996722205535194750e+00
6.400000000000000000e+01 1.630924982412592499e+03 2.501977879199316357e-01 1.184770663166021800e-03 -3.349313330247627452e+00
6.500000000000000000e+01 1.652710359529684411e+03 2.616690285843877306e-01 1.222097623779821529e-03 -3.715051900875096624e+00
6.600000000000000000e+01 1.674758484776584055e+03 2.733924369960998302e-01 1.259998483052107666e-03 -4.094341087855869254e+00
6.700000000000000000e+01 1.697050426951116833e+03 2.853600578341407568e-01 1.298473685128779306e-03 -4.486577315219227202e+00
6.800000000000000000e+01 1.719549219062183965e+03 2.975605172648602137e-01 1.337523819113923141e-03 -4.890899741490719599e+00
6.900000000000000000e+01 1.742210464203545371e+03 3.099846703472162734e-01 1.377149622709465410e-03 -5.306477229538586471e+00
7.000000000000000000e+01 1.765004620615796512e+03 3.226241154294547386e-01 1.417351982726700217e-03 -5.732671771971356911e+00
7.100000000000000000e+01 1.787909551490915874e+03 3.354731210572627909e-01 1.458131935698988224e-03 -6.169176199307037756e+00
7.200000000000000000e+01 1.811036741356522271e+03 3.485269782150230977e-01 1.499490667659933441e-03 -6.616835860353257992e+00
7.300000000000000000e+01 1.834497651421402225e+03 3.617799340472596659e-01 1.541429512650193756e-03 -7.076566952962949131e+00
7.400000000000000000e+01 1.858299744596526352e+03 3.752202937475231370e-01 1.583949950854988357e-03 -7.548215991971587435e+00
7.500000000000000000e+01 1.882443054114942242e+03 3.888356204755373802e-01 1.627053604839643914e-03 -8.031295217561300603e+00
7.600000000000000000e+01 1.906882234792745521e+03 4.026115399779011672e-01 1.670742238257611140e-03 -8.525244653171665021e+00
7.700000000000000000e+01 1.931494428521096779e+03 4.165378111723950227e-01 1.715017748713195496e-03 -9.028680607356452725e+00
7.800000000000000000e+01 1.956267394308328221e+03 4.306029985444514430e-01 1.759882164550849231e-03 -9.541239142760932879e+00
7.900000000000000000e+01 1.981248316993278877e+03 4.447964105035721039e-01 1.805337639271020625e-03 -1.006285346384233925e+01
8.000000000000000000e+01 2.006462095500072110e+03 4.591073566211827939e-01 1.851386445287985742e-03 -1.059360535152109328e+01
8.100000000000000000e+01 2.031934896304205495e+03 4.735248763099127456e-01 1.898030968428470648e-03 -1.113332967473048640e+01
8.200000000000000000e+01 2.057675673406150054e+03 4.880384103894954695e-01 1.945273700639086212e-03 -1.168161645780038072e+01
8.300000000000000000e+01 2.083657506845658190e+03 5.026356439942767373e-01 1.993117233818533091e-03 -1.223818023386988152e+01
8.400000000000000000e+01 2.109875761325540680e+03 5.173050065409861009e-01 2.041564253169435988e-03 -1.280243841809621230e+01
8.500000000000000000e+01 2.136318372936158994e+03 5.320341861291292274e-01 2.090617529599447105e-03 -1.337417986081126919e+01
8.600000000000000000e+01 2.162978533716351194e+03 5.468130272498559208e-01 2.140279913160158306e-03 -1.395278967229288014e+01
8.700000000000000000e+01 2.189825889931462825e+03 5.616281099084935446e-01 2.190554327199879543e-03 -1.453774646690766303e+01
8.800000000000000000e+01 2.216842772394666099e+03 5.764666849656154834e-01 2.241443760795599777e-03 -1.512849653975154141e+01
8.900000000000000000e+01 2.244041225554065932e+03 5.913160050657121358e-01 2.292951262902121184e-03 -1.572456049362993902e+01
9.000000000000000000e+01 2.271425865858887391e+03 6.061588676896733086e-01 2.345079936558081436e-03 -1.632560752420635453e+01
9.100000000000000000e+01 2.299007935239791550e+03 6.209820089279676214e-01 2.397832933477151394e-03 -1.693109094439914131e+01
9.200000000000000000e+01 2.326788034516629523e+03 6.357708284405121368e-01 2.451213449173202368e-03 -1.754078899132922587e+01
9.300000000000000000e+01 2.354780818549372270e+03 6.505109504370714113e-01 2.505224718251756154e-03 -1.815418973920143486e+01
9.400000000000000000e+01 2.382978657913878578e+03 6.651902297087816107e-01 2.559870011057543884e-03 -1.877107842874884724e+01
9.500000000000000000e+01 2.411396209089592503e+03 6.797935518350802786e-01 2.615152629877424886e-03 -1.939094320090446999e+01
9.600000000000000000e+01 2.440025844435850559e+03 6.943072902422342541e-01 2.671075906818460785e-03 -2.001334651601689529e+01
